Chat ID,Chat Message,UNIX Time Stamp,chat_location_context
9409446,we&#39;re planning to visit manali...we stay in mumbai what will be the actual cost to visit there from mumbai to manali in buses..,1415529577,:11/11/2014:14/11/2014
9609804,"welcome to stayzilla.com\
This is  Mr Mukthadir Ahmed\
May i know your name please?",1415529572,23071:16/11/2014:17/11/2014
9609804,hello sir any accomodation is available in srisailam on 17-11-2014,1415529570,23071:16/11/2014:17/11/2014
9581534,"thanks for contacting us. I am afraid, I am unable to help you on this particular issue. However, may I ask you to please call 044-46946000(Extn : 2) or email your concerns to orders@stayzilla.local. Alternatively, I can arrange a call back from the concerned team in the next 30 minutes.",1415529555,:15/11/2014:18/11/2014
9585554,"welcome to stayzilla.com\
This is  Mr Mukthadir Ahmed\
May i know your name please?",1415529514,1140:15/11/2014:18/11/2014
9606678,<a href='http://www.stayzilla.com/poi.php#search?h/320195/18_12_2014/22_12_2014/main'>link</a>,1415529510,200:14/12/2014:15/12/2014
9606678,"Amenities\
\
    Business Centre\
    Internet\
    Travel Desk\
    Bar\
    Beauty Parlor\
    Swimming Pool\
    Laundry\
    Valet\
    Doctor on Call\
    Safe\
    STD/ISD Phone\
    Credit Cards Accepted\
    Breakfast\
    Continental Breakfast\
    Cable Television\
    Fax\
    Copy Service\
    Free Newspaper\
    TV Remote Control\
\
	\
Cuisines\
\
    Continental\
    Chinese\
    South Indian\
    Vegetarian\
    Non-Vegetarian",1415529469,200:14/12/2014:15/12/2014
9609890,"That&#39;s good hotel, but we are checking other options from your site",1415529450,:16/11/2014:19/11/2014
9606678,"Includes:\
\
Room rent.\
~ Complimentary Breakfast.\
\
Checkin Time:\
09:00 Hrs\
Checkout Time:\
09:00 Hrs",1415529438,200:14/12/2014:15/12/2014
9606678,"\
Hotel Silver Oak Country Yard - Mount Abu X\
Check in: 18/12/2014 Check out: 22/12/2014\
Deluxe A/c Double1 Room @ Rs. 2,316/night\
Avg Price per Night*\
Rs. 2,316 ",1415529426,200:14/12/2014:15/12/2014
9591340,may I know your check-in/check-out dates pls,1415529418,8:13/12/2014:14/12/2014
9409446,what is the cost of manali bus trip from mumbai to manali,1415529389,:11/11/2014:14/11/2014
9610710,Mam actuly I was just surfing the site.. so that&#39;s why I asked... but right now theirs no such plans.. if I want any help then I&#39;ll contact you ,1415529376,101997:14/12/2014:15/12/2014
9609890,"Amenities\
\
    Laundry\
    Valet\
    Doctor on Call\
    Safe\
    STD/ISD Phone\
    Credit Cards Accepted\
    Breakfast\
    Continental Breakfast\
    Cable Television\
    Copy Service\
    Free Newspaper\
    TV Remote Control\
\
	\
Cuisines\
\
    South Indian\
    Tandoor\
    Vegetarian\
    Non-Vegetarian",1415529359,:16/11/2014:19/11/2014
9451610,Click this <a href='http://stayzilla.com/poi.php#search?h/333799/15_11_2014/17_11_2014/main'>LINK</a>,1415529341,30:15/11/2014:16/11/2014
9609890,"Includes:\
\
Room rent\
\
~ Complimentary Breakfast and Lunch or Dinner.\
\
~ Kindly Note :\
\
~ Compulsory New Year Eve Supplementary Charges of Rs.1500 per person applicable.\
\
Checkin Time:\
12:00 Hrs\
Checkout Time:\
12:00 Hrs",1415529327,:16/11/2014:19/11/2014
9610644,"\
Hotel Soorya International - Mettupalayam X\
Check in: 15/11/2014 Check out: 16/11/2014\
Double Non A/c Room1 Room @ Rs. 763/night\
Avg Price per Night*\
Rs. 763 ",1415529297,514:16/11/2014:19/11/2014
9451610,"Amenities\
\
    24Hrs Checkin\
    24Hrs Checkout\
    Internet\
    Travel Desk\
    Laundry\
    Valet\
    Doctor on Call\
    STD/ISD Phone\
    Breakfast\
    Cable Television\
    Copy Service\
    TV Remote Control\
\
	\
Cuisines\
\
    South Indian\
    Vegetarian\
    Non-Vegetarian",1415529272,30:15/11/2014:16/11/2014
9606678,Ok i intrest but good fesility is required,1415529269,200:14/12/2014:15/12/2014
9451610,"Checkin Time:\
24Hrs\
Checkout Time:\
24Hrs",1415529257,30:15/11/2014:16/11/2014
9610872,"Hi Iam R Suresh , Pls call me 9941026265",1415529250,24:5/12/2014:6/12/2014
